sales_id,lastSalePrice,lastSaleDate
0,0.0,
1,0.0,2018-12-31T00:00:00.000Z
2,0.0,2015-12-22T00:00:00.000Z
3,0.0,2023-09-01T00:00:00.000Z
4,0.0,2019-04-17T00:00:00.000Z
5,0.0,2008-09-30T00:00:00.000Z
6,0.0,2005-05-05T00:00:00.000Z
7,0.0,2022-12-01T00:00:00.000Z
8,0.0,2020-12-07T00:00:00.000Z
9,71890.0,1999-08-13T00:00:00.000Z
10,0.0,2012-12-20T00:00:00.000Z
11,0.0,2001-07-19T00:00:00.000Z
12,0.0,2023-09-22T00:00:00.000Z
13,0.0,2005-06-01T00:00:00.000Z
14,0.0,2019-12-31T00:00:00.000Z
15,0.0,2022-08-12T00:00:00.000Z
16,0.0,2020-07-10T00:00:00.000Z
17,0.0,2008-07-07T00:00:00.000Z
18,0.0,2013-12-02T00:00:00.000Z
19,0.0,2020-07-02T00:00:00.000Z
20,0.0,2023-03-03T00:00:00.000Z
21,0.0,2018-07-12T00:00:00.000Z
22,0.0,1988-09-09T00:00:00.000Z
23,0.0,2018-09-29T00:00:00.000Z
24,0.0,2017-11-16T00:00:00.000Z
25,0.0,2017-03-21T00:00:00.000Z
26,0.0,2012-08-30T00:00:00.000Z
27,0.0,2022-01-13T00:00:00.000Z
28,0.0,2016-06-14T00:00:00.000Z
29,0.0,2009-12-02T00:00:00.000Z
30,0.0,1999-04-26T00:00:00.000Z
31,0.0,2021-05-19T00:00:00.000Z
32,0.0,2020-08-20T00:00:00.000Z
33,0.0,2016-09-28T00:00:00.000Z
34,0.0,2018-02-20T00:00:00.000Z
35,0.0,1994-04-05T00:00:00.000Z
36,0.0,2022-04-20T00:00:00.000Z
37,0.0,2021-11-30T00:00:00.000Z
38,119100.0,2022-02-22T00:00:00.000Z
39,0.0,2016-06-07T00:00:00.000Z
40,0.0,2020-10-28T00:00:00.000Z
41,0.0,2020-01-03T00:00:00.000Z
42,0.0,2016-09-23T00:00:00.000Z
43,0.0,2016-01-19T00:00:00.000Z
44,0.0,2004-04-21T00:00:00.000Z
45,0.0,2019-03-06T00:00:00.000Z
46,0.0,2017-11-13T00:00:00.000Z
47,0.0,2016-03-29T00:00:00.000Z
48,0.0,2012-07-09T00:00:00.000Z
49,0.0,2005-06-06T00:00:00.000Z
50,0.0,2013-10-30T00:00:00.000Z
51,0.0,2021-04-05T00:00:00.000Z
52,0.0,2021-06-03T00:00:00.000Z
53,0.0,2022-11-03T00:00:00.000Z
54,0.0,2008-10-01T00:00:00.000Z
55,0.0,2012-03-05T00:00:00.000Z
56,0.0,2017-11-21T00:00:00.000Z
57,0.0,2021-06-02T00:00:00.000Z
58,0.0,2015-11-06T00:00:00.000Z
59,0.0,2023-09-08T00:00:00.000Z
60,0.0,2020-08-21T00:00:00.000Z
61,0.0,2002-04-08T00:00:00.000Z
62,0.0,2016-05-17T00:00:00.000Z
63,0.0,2020-07-20T00:00:00.000Z
64,0.0,1994-05-18T00:00:00.000Z
65,0.0,2019-10-22T00:00:00.000Z
66,0.0,2018-03-09T00:00:00.000Z
67,0.0,2023-07-18T00:00:00.000Z
68,0.0,2017-03-27T00:00:00.000Z
69,0.0,2018-12-04T00:00:00.000Z
70,0.0,2020-09-02T00:00:00.000Z
71,0.0,2023-02-14T00:00:00.000Z
72,0.0,2018-10-18T00:00:00.000Z
73,0.0,1994-04-14T00:00:00.000Z
74,0.0,2022-02-01T00:00:00.000Z
75,0.0,2015-10-23T00:00:00.000Z
76,0.0,2020-10-16T00:00:00.000Z
77,0.0,2017-09-19T00:00:00.000Z
78,0.0,2023-01-27T00:00:00.000Z
79,0.0,2019-07-30T00:00:00.000Z
80,0.0,2011-09-23T00:00:00.000Z
81,0.0,2003-10-20T00:00:00.000Z
82,0.0,2019-11-21T00:00:00.000Z
83,0.0,2019-05-06T00:00:00.000Z
84,0.0,2018-01-29T00:00:00.000Z
85,0.0,1999-06-21T00:00:00.000Z
86,0.0,2012-06-08T00:00:00.000Z
87,0.0,2016-12-22T00:00:00.000Z
88,0.0,2019-03-20T00:00:00.000Z
89,0.0,2020-10-23T00:00:00.000Z
90,0.0,2022-05-09T00:00:00.000Z
91,0.0,2021-03-24T00:00:00.000Z
92,0.0,2018-06-11T00:00:00.000Z
93,0.0,2014-09-03T00:00:00.000Z
94,0.0,2018-04-02T00:00:00.000Z
95,0.0,2019-12-17T00:00:00.000Z
96,0.0,2018-12-18T00:00:00.000Z
97,0.0,2018-07-29T00:00:00.000Z
98,0.0,2024-01-30T00:00:00.000Z
99,0.0,2003-01-27T00:00:00.000Z
100,0.0,2014-09-15T00:00:00.000Z
101,0.0,2004-02-20T00:00:00.000Z
102,0.0,2014-11-21T00:00:00.000Z
103,0.0,2021-09-10T00:00:00.000Z
104,0.0,2017-04-10T00:00:00.000Z
105,0.0,2023-05-03T00:00:00.000Z
106,0.0,2006-07-20T00:00:00.000Z
107,0.0,2022-11-02T00:00:00.000Z
108,0.0,2015-04-11T00:00:00.000Z
109,0.0,2012-03-15T00:00:00.000Z
110,0.0,2007-10-23T00:00:00.000Z
111,0.0,2023-03-01T00:00:00.000Z
112,0.0,2019-05-01T00:00:00.000Z
113,0.0,1998-12-03T00:00:00.000Z
114,0.0,2018-01-02T00:00:00.000Z
115,0.0,2019-10-02T00:00:00.000Z
116,0.0,2019-12-13T00:00:00.000Z
117,0.0,2007-09-13T00:00:00.000Z
118,0.0,2020-12-22T00:00:00.000Z
119,0.0,2019-05-09T00:00:00.000Z
120,0.0,2019-12-23T00:00:00.000Z
